"ID","learnTime","time","acc","RT","log_RT"
"AmPm02a0","AM",1,0.0909090909090909,1760.2,7.47318271793971
"AmPm02a0","AM",2,0,NA,NA
"AmPm02a0","PM",1,0.181818181818182,1399.475,7.20280847152789
"AmPm02a0","PM",2,0.409090909090909,1707.0125,7.38692189930826
"AmPm0a0c","AM",1,0.409090909090909,1991.41111111111,7.35577826965356
"AmPm0a0c","AM",2,0.272727272727273,1155.03333333333,7.03671091273075
"AmPm0a0c","PM",1,0.375,1875.0125,7.33865443698742
"AmPm0a0c","PM",2,0.416666666666667,1141.7,7.02712424741609
"AmPm0a7c","AM",1,0.541666666666667,1562.76153846154,7.29135383299288
"AmPm0a7c","AM",2,0.416666666666667,1476.84,7.24972598364833
"AmPm0a7c","PM",1,0.208333333333333,2081.56,7.52688748875994
"AmPm0a7c","PM",2,0.5,1425.83333333333,7.17054512665795
"AmPm0cde","AM",1,0.416666666666667,1554.14,7.25642860749362
"AmPm0cde","AM",2,0.333333333333333,1085.8,6.98447811226921
"AmPm0cde","PM",1,0.208333333333333,2298.08,7.73096067986043
"AmPm0cde","PM",2,0.291666666666667,1243.5,7.09910348493451
"AmPm10e8","AM",1,0.363636363636364,1667.3625,7.23593129650332
"AmPm10e8","AM",2,0.363636363636364,1931.5625,7.49365716162239
"AmPm10e8","PM",1,0.333333333333333,1268.825,7.09181486207878
"AmPm10e8","PM",2,0.416666666666667,1637.25555555556,7.22137136784231
"AmPm181c","AM",1,0.458333333333333,3685.57272727273,7.89759857951499
"AmPm181c","AM",2,0.416666666666667,3145.76666666667,7.91546424933058
"AmPm181c","PM",1,0.125,1702.6,7.30139985125149
"AmPm181c","PM",2,0.458333333333333,2157.68181818182,7.48788334749039
"AmPm361c","AM",1,0.291666666666667,1944.55,7.39196512065383
"AmPm361c","AM",2,0.333333333333333,2113.3875,7.41711660306875
"AmPm361c","PM",1,0.5,2068.425,7.48671907984645
"AmPm361c","PM",2,0.666666666666667,1292.5125,7.10524105466933
"AmPm3d40","AM",1,0.125,3179.85,8.01622308508346
"AmPm3d40","AM",2,0,NA,NA
"AmPm3d40","PM",1,0.0416666666666667,1330.4,7.19323492787872
"AmPm3d40","PM",2,0,NA,NA
"AmPm420f","AM",1,0.583333333333333,1330.05714285714,7.05989228459238
"AmPm420f","AM",2,0.416666666666667,1408.64,7.12169534338673
"AmPm420f","PM",1,0.5,1795.98181818182,7.29504673641433
"AmPm420f","PM",2,0.5,1489.475,7.20534611383178
"AmPm46f8","AM",1,0.708333333333333,1685.34705882353,7.343329657108
"AmPm46f8","AM",2,0.583333333333333,1842.62142857143,7.35304001754743
"AmPm46f8","PM",1,0.416666666666667,1512.95,7.30181647763108
"AmPm46f8","PM",2,0.541666666666667,1542.37692307692,7.18943989245725
"AmPm504e","AM",1,0.166666666666667,2139.06666666667,7.56389736244701
"AmPm504e","AM",2,0.166666666666667,1674.06666666667,7.40940979250028
"AmPm504e","PM",1,0.166666666666667,1623.56666666667,7.38982307980199
"AmPm504e","PM",2,0.291666666666667,1550.48571428571,7.33779212694582
"AmPm57af","AM",1,0.291666666666667,1488.72857142857,7.2933385734332
"AmPm57af","AM",2,0.291666666666667,1666.64285714286,7.33053721023448
"AmPm57af","PM",1,0,NA,NA
"AmPm57af","PM",2,0.0416666666666667,896.7,6.798721357958
"AmPm5cd0","AM",1,0.25,3238.36,7.8547348200781
"AmPm5cd0","AM",2,0.208333333333333,2330.18,7.58390874650401
"AmPm5cd0","PM",1,0.25,1983.48333333333,7.56062896323421
"AmPm5cd0","PM",2,0.291666666666667,1678.5,7.31309051298487
"AmPm5de6","AM",1,0.583333333333333,1315.72307692308,7.12417492392502
"AmPm5de6","AM",2,0.541666666666667,1484.41538461538,7.15488292562691
"AmPm5de6","PM",1,0.590909090909091,1402.53333333333,7.18385055569485
"AmPm5de6","PM",2,0.772727272727273,1248.9375,7.00832778454264
"AmPm5fb0","AM",1,0.125,1531.43333333333,7.33168355156415
"AmPm5fb0","AM",2,0.0416666666666667,2198.8,7.69566703598651
"AmPm5fb0","PM",1,0.166666666666667,2303.16666666667,7.6020575817917
"AmPm5fb0","PM",2,0.5,1764.06363636364,7.3777415351053
"AmPm65f3","AM",1,0.333333333333333,2394.95,7.70615185726324
"AmPm65f3","AM",2,0.291666666666667,3215.04285714286,8.03998632578855
"AmPm65f3","PM",1,0.25,4066.51666666667,8.1564188477014
"AmPm65f3","PM",2,0.291666666666667,2049.05714285714,7.57956934624088
"AmPm68ca","AM",1,0.208333333333333,2098.18,7.51943773070174
"AmPm68ca","AM",2,0.333333333333333,1999.0375,7.44254193617816
"AmPm68ca","PM",1,0.0833333333333333,1646.15,7.3127805536936
"AmPm68ca","PM",2,0.166666666666667,943.125,6.84040463355597
"AmPm6d4c","AM",1,0.125,1800.13333333333,7.46990519248899
"AmPm6d4c","AM",2,0.125,2973.3,7.82641721743987
"AmPm6d4c","PM",1,0.0833333333333333,1506.8,7.31774347581789
"AmPm6d4c","PM",2,0.25,2740.72,7.61426384625811
"AmPm74aa","AM",1,0.75,1535.50555555556,7.20885591295324
"AmPm74aa","AM",2,0.791666666666667,1524.64736842105,7.2108420657265
"AmPm74aa","PM",1,0.5,2631.84166666667,7.67494445519735
"AmPm74aa","PM",2,0.791666666666667,1398.93684210526,7.16080488560063
"AmPm7770","AM",1,0.541666666666667,1554.12307692308,7.30529819658906
"AmPm7770","AM",2,0.583333333333333,1922.60714285714,7.36852456239479
"AmPm7770","PM",1,0.181818181818182,1569.225,7.29981802382752
"AmPm7770","PM",2,0.227272727272727,2304.375,7.63520995352797
"AmPm7f5f","AM",1,0.136363636363636,1444.4,7.26556937803643
"AmPm7f5f","AM",2,0.181818181818182,1952.75,7.38320200510489
"AmPm7f5f","PM",1,0.125,3000.86666666667,7.74121213539425
"AmPm7f5f","PM",2,0.125,1122.16666666667,7.01836430400517
"AmPm82ae","AM",1,0.166666666666667,1311.45,7.16281817328893
"AmPm82ae","AM",2,0.25,1115.33333333333,6.99124246473079
"AmPm82ae","PM",1,0.333333333333333,1535.7375,7.22883675711114
"AmPm82ae","PM",2,0.25,1570.33333333333,7.07885760683613
"AmPm8693","AM",1,0.375,1772,7.38137226808818
"AmPm8693","AM",2,0.375,2614.2,7.42343340278075
"AmPm8693","PM",1,0.125,2315.06666666667,7.68960147512389
"AmPm8693","PM",2,0.625,1279.70666666667,7.04528936355945
"AmPm874d","AM",1,0.0833333333333333,1193.1,7.0434800971979
"AmPm874d","AM",2,0.0416666666666667,3333.3,8.11171808325807
"AmPm874d","PM",1,0.333333333333333,1255.85714285714,7.07646627289959
"AmPm874d","PM",2,0.541666666666667,1374.61538461538,7.16349964597086
"AmPm89aa","AM",1,0,NA,NA
"AmPm89aa","AM",2,0.0416666666666667,1619.2,7.38968747909315
"AmPm89aa","PM",1,0,NA,NA
"AmPm89aa","PM",2,0,NA,NA
"AmPm96bc","AM",1,0.791666666666667,2173.01052631579,7.40502494614331
"AmPm96bc","AM",2,0.833333333333333,2049.845,7.47404615488683
"AmPm96bc","PM",1,0.363636363636364,3218.1625,7.90003473204094
"AmPm96bc","PM",2,0.409090909090909,2029.18888888889,7.45269877101428
"AmPm9d45","AM",1,0.0833333333333333,3355.15,8.09502970396242
"AmPm9d45","AM",2,0.125,1426.4,7.24871926899815
"AmPm9d45","PM",1,0.227272727272727,2112.74,7.55984709647804
"AmPm9d45","PM",2,0.681818181818182,1511.03333333333,7.23555369816202
"AmPmbe42","AM",1,0.166666666666667,2267.43333333333,7.72432308207413
"AmPmbe42","AM",2,0.208333333333333,3024.56,7.89133554620916
"AmPmbe42","PM",1,0.166666666666667,2981.075,7.8443134518599
"AmPmbe42","PM",2,0.25,1873.51666666667,7.48666816827153
"AmPmc0a3","AM",1,0,NA,NA
"AmPmc0a3","AM",2,0,NA,NA
"AmPmc0a3","PM",1,0.25,1444.86666666667,7.2177133067081
"AmPmc0a3","PM",2,0.5,1527.1,7.26566016535728
"AmPme02f","AM",1,0.416666666666667,2653.0125,7.56316852771485
"AmPme02f","AM",2,0.25,1306.7,7.14987035179539
"AmPme02f","PM",1,0.458333333333333,1069.9,6.96724764913187
"AmPme02f","PM",2,0.541666666666667,1075.24615384615,6.95012702299859
"AmPme381","AM",2,0.166666666666667,3496.15,7.96587048737691
"AmPme381","PM",1,0.0833333333333333,4824.6,8.22020900826206
"AmPme381","PM",2,0.0833333333333333,1734.5,7.38898261567959
"AmPme4fc","AM",1,0.541666666666667,2615.75384615385,7.6115885992144
"AmPme4fc","AM",2,0.541666666666667,1373.225,7.14478046801915
"AmPme4fc","PM",1,0.125,1258.23333333333,7.12982003505112
"AmPme4fc","PM",2,0.375,1563.72222222222,7.28259847553472
"AmPmf8fb","AM",1,0.416666666666667,1891.38,7.44191061634185
"AmPmf8fb","AM",2,0.291666666666667,1848.41428571429,7.40356509614704
"AmPmf8fb","PM",1,0.375,2204.47777777778,7.59470703537646
"AmPmf8fb","PM",2,0.583333333333333,1224.17142857143,7.06604967517516
"AmPmfda0","AM",1,0,NA,NA
"AmPmfda0","AM",2,0.0833333333333333,3423.9,7.94588652591104
"AmPmfda0","PM",1,0.0416666666666667,NA,NA
"AmPmfda0","PM",2,0.166666666666667,1210,7.05945203631928
"AmPmffd2","AM",1,0.208333333333333,2458.6,7.78938233221987
"AmPmffd2","AM",2,0.291666666666667,2547.85714285714,7.68426144138959
"AmPmffd2","PM",1,0.25,3899.06,8.11536883696129
"AmPmffd2","PM",2,0.208333333333333,1422.66,7.1967220547925
